Structure	11-cis	all-trans	3,4-dehydro	3-hydroxy	4-hydroxy	9-cis	13-cis
Squid	-5.52	-4.75	-4.33	-2.51	-3.10	-5.41	-2.55
Spun	+16.68	+24.18	+24.78	+26.06	+25.58	+9.56	+26.24
SRII	-4.67	-5.72	-5.83	-5.42	-5.69	-3.70	-5.86
Nop-1	-4.30	-5.70	-5.20	-4.01	-5.27	-5.27	-4.67
Beme-BR	-4.81	-1.28	-2.95	-2.07	-2.10	-2.50	-4.13
