Position of region	Spun	Bden	Amac	Tpac	Btau	Hsap
Most favored regions	90.7%	86.1%	66.4%	90.0%	79.2%	91.1%
Additional allowed regions	7.5%	11.6%	24.1%	9.1%	15.8%	7.6%
Generously allowed regions	1.2%	1.4%	6.0%	0.0%	3.8%	0.6%
Disallowed regions	0.6%	0.9%	3.4%	0.0%	1.2%	0.6%
Verify3D	73.60	55.41	131.62	87.85	109.14	00.0
