#Date	Days	t18.r1	t18.r2	t18.r3	t18.Avg	t18.SE	t23.r1	t23.r2	t23.r3	t23.Avg	t23.SE	t25.r1	t25.r2	t25.r3	t25.Avg	t25.SE	t28.r1	t28.r2	t28.r3	t28.Avg	t28.SE
6.30.2014	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
7.3.2014	3	0.022	0.020	0.000	0.014	0.007	0.031	0.025	0.022	0.026	0.003	0.012	0.000	0.019	0.010	0.006	0.030	0.000	0.033	0.021	0.011
7.6.2014	6	0.053	0.054	0.047	0.051	0.002	0.073	0.065	0.064	0.067	0.003	0.037	0.044	0.061	0.047	0.007	0.067	0.064	0.080	0.070	0.005
7.9.2014	9	0.098	0.081	0.085	0.088	0.005	0.099	0.103	0.104	0.102	0.002	0.058	0.070	0.094	0.074	0.011	0.102	0.069	0.113	0.095	0.013
7.12.2014	12	0.122	0.123	0.113	0.119	0.003	0.119	0.113	0.118	0.117	0.002	0.078	0.087	0.093	0.086	0.004	0.096	0.095	0.111	0.101	0.005
7.15.2014	15	0.128	0.145	0.117	0.130	0.008	0.136	0.140	0.153	0.143	0.005	0.101	0.095	0.098	0.098	0.002	0.118	0.097	0.129	0.115	0.009
7.18.2014	18	0.134	0.132	0.128	0.131	0.002	0.152	0.154	0.145	0.150	0.003	0.094	0.116	0.121	0.110	0.008	0.122	0.105	0.131	0.119	0.008
7.21.2014	21	0.174	0.175	0.157	0.169	0.006	0.178	0.152	0.171	0.167	0.008	0.114	0.123	0.124	0.120	0.003	0.139	0.123	0.144	0.135	0.006
