#pH	Hp.r1	Hp.r2	Hp.r3	Hp.Avg	Hp.SE	Bd.r1	Bd.r2	Bd.r3	Bd.Avg	Bd.SE
4	0.038	0.039	0.035	0.037	0.001	0.000	0.004	0.000	0.001	0.001	
5	0.075	0.061	0.067	0.068	0.004	0.000	0.000	0.012	0.004	0.004
6	0.077	0.078	0.079	0.078	0.001	0.062	0.058	0.064	0.061	0.002
6.8	0.140	0.089	0.099	0.109	0.016	0.039	0.025	0.029	0.031	0.004
7	0.079	0.078	0.093	0.083	0.005	0.020	0.032	0.029	0.027	0.004
8	0.073	0.081	0.077	0.077	0.002	0.044	0.042	0.054	0.047	0.004
