Org	Num of proteins
R. allomycis	32
G. prolifera	101
Piromyces E2	269
Orpinomyces C1	280
H. polyrhiza	58
S. punctatus	66
B. dendrobatidis	133
A. macrogynus	57
C. anguillulae	101
C. lativittatus	98
