Org	PDEA	PDEB	PDEG
Rall	9	9	0	
Gpro	6	6	0	
PirE	7	7	0	
OrpC	3	2	0	
Hpol	9	10	0	
Spun	10	10	0	
Bden	10	9	0	
Amac	23	24	1	
Cang	12	12	1	
Clat	11	11	2	
Ccor	2	2	1	
Crev	2	2	0	
Pbla	6	7	0	
Rory	9	12	0	
Pgra	3	2	0	
Umay	3	0	0	
Ccin	1	2	0	
Spom	0	1	0	
Scer	1	1	1	
Ncra	5	5	0	
