Org	WC1	WC2	CRY	PHY	BR	Rhod	GA	GB	GG	RGS	PDEA	PDEB	PDEG
Rall	0	0	0	0	0	1	4	7	1	1	7	8	0
Gpro	2	1	0	1	2	0	4	10	0	0	4	4	0
PirE	0	0	1	0	0	0	10	8	1	0	5	3	0
OrpC	0	0	0	0	0	0	8	10	1	0	1	1	0
Hpol	2	0	1	0	1	0	17	6	1	0	1	1	0
Spun	2	1	1	1	0	1	6	19	1	2	7	7	0
Bden	0	0	0	0	0	1	9	11	1	1	7	7	0
Amac	1	0	0	0	4	4	20	21	2	0	12	11	0
Cang	2	1	0	0	1	1	13	3	1	0	6	6	0
Clat	1	0	0	0	1	5	11	10	0	0	4	4	0
Ccor	3	2	0	0	0	0	7	8	3	0	1	1	0
Crev	0	0	0	0	0	0	2	9	1	0	0	0	0
Pbla	3	4	1	0	0	0	10	18	4	3	3	2	0
Rory	3	6	0	0	0	0	11	15	5	4	2	2	0
Pgra	1	1	0	1	0	0	6	7	1	1	0	0	0
Umay	2	1	0	1	3	0	4	3	1	1	0	0	0
Ccin	1	0	0	0	0	0	16	10	2	1	0	0	0
Spom	0	0	1	0	1	0	2	8	0	1	0	0	0
Scer	0	0	0	0	3	0	2	2	1	0	0	0	0
Ncra	1	1	2	2	2	0	4	6	1	1	0	0	0
